"","m","sd"
"1",0.0236,0.151806931773399
"2",0,0
"3",0,0
"4",0.0533,0.224642285457662
"5",0.1673,0.37326216318326
"6",0.2435,0.429215764642052
"7",0.0534,0.224841044628277
"8",0.1673,0.37326216318326
"9",0.2412,0.427832752470412
"10",0.0551,0.228186758861447
"11",0.1634,0.369748713873546
"12",0.2543,0.435488777177443
"13",0.0279,0.164694573165733
"14",0.0118,0.107990398613114
"15",0,0
"16",0.0261,0.159440685313421
"17",0.0099,0.0990099504950371
"18",0,0
"19",0.0268,0.161506558494829
"20",0.0152,0.122353819089167
"21",0,0
"22",0.0375,0.189993051809727
"23",0.0187,0.135470089741321
"24",0,0
"25",0.0247,0.155217006902991
"26",0.0116,0.107082149113033
"27",0,0
"28",0.0249,0.155828168961277
"29",0.0086,0.0923411754813037
"30",0,0
"31",0.0229,0.14959220495326
"32",0.0087,0.0928718069020504
"33",0,0
"34",0.0177,0.13186526777315
"35",0.0052,0.0719268889062691
"36",0,0
"37",0.0181,0.133319793792001
"38",0.0083,0.0907300016164407
"39",0,0
"40",0.0198,0.13931942072123
"41",0.0069,0.0827833033137163
"42",0,0
"43",0.0285,0.166404684585216
"44",0.0108,0.103365508961376
"45",0,0
"46",0.0106,0.102414300119109
"47",0,0
"48",0,0
"49",0.0013,0.0360338707882514
"50",0,0
"51",0,0
"52",0.0013,0.0360338707882514
"53",0,0
"54",0,0
"55",0.0012,0.0346219564436616
"56",0,0
"57",0,0
"58",0.0022,0.0468548774190457
"59",0,0
"60",0,0
"61",0.0018,0.0423903254760965
"62",0,0
"63",0,0
"64",9e-04,0.0299879963984391
"65",0,0
"66",0,0
"67",0.012,0.108890705381919
"68",0,0
"69",0,0
"70",0.0111,0.104775415956124
"71",0,0
"72",0,0
"73",0.0062,0.0784995300471395
"74",0,0
"75",0,0
"76",0.0212,0.14405774975171
"77",0,0
"78",0,0
"79",0.0043,0.0654365203370364
"80",0,0
"81",0,0
"82",0.0051,0.0712355069452375
"83",0,0
"84",0,0
"85",0.003,0.0546927703623888
"86",0,0
"87",0,0
"88",0.0065,0.0803641452364421
"89",0.0105,0.101935220012064
"90",0,0
"91",0.0262,0.159737633672097
"92",0.0697,0.254653479928086
"93",0.0016,0.0399699857390017
"94",0.0035,0.0590601287662073
"95",0,0
"96",0,0
"97",0.0069,0.0827833033137163
"98",0,0
"99",0,0
"100",0.0058,0.0759403495756332
"101",0,0
"102",0,0
"103",0.0068,0.0821853724426942
"104",0,0
"105",0,0
"106",0.0085,0.0918073682189285
"107",0,0
"108",0,0
"109",0.0057,0.0752866310023285
"110",0,0
"111",0,0
"112",0.0037,0.0607180258890783
"113",0,0
"114",0,0
"115",0.0026,0.0509264111236497
"116",0,0
"117",0,0
"118",1e-04,0.01
"119",0,0
"120",0,0
"121",0.0342,0.181751652994785
"122",0.0643,0.245298852734201
"123",0.0914,0.288191508262377
"124",0.0472,0.212077008809929
"125",0.1036,0.304756177349637
"126",0.1495,0.356598466410926
"127",0.053,0.224044682155056
"128",0.1133,0.316975010554037
"129",0.1621,0.368560949799856
"130",0.0405,0.197138622201831
"131",0.0851,0.279044398936187
"132",0.1265,0.332428640282524
"133",0.0455,0.208408477297208
"134",0.1006,0.30081337880634
"135",0.1459,0.353023586414926
"136",0.0024,0.0489334185188895
"137",0,0
"138",0,0
"139",0.0023,0.0479055267578741
"140",0,0
"141",0,0
"142",0.002,0.044678849805719
"143",0,0
"144",0,0
"145",0.0054,0.0732896796125742
"146",0,0
"147",0,0
"148",0.0058,0.0759403495756332
"149",0,0
"150",0,0
"151",0.0037,0.0607180258890783
"152",0,0
"153",0,0
"154",0.0042,0.0646744020291474
"155",0,0
"156",0,0
"157",0.0039,0.0623312001958232
"158",0,0
"159",0,0
"160",0.0028,0.0528435354979622
"161",0,0
"162",0,0
"163",0.003,0.0546927703623888
"164",0,0
"165",0,0
"166",0.0027,0.0518939235164368
"167",0,0
"168",0,0
"169",0.0028,0.0528435354979622
"170",0,0
"171",0,0
"172",0.0046,0.0676705100453143
"173",0,0
"174",0,0
"175",0.005,0.0705372068468477
"176",0,0
"177",0,0
"178",0.0044,0.0661897130059557
"179",0,0
"180",0,0
"181",0.0035,0.0590601287662073
"182",0,0
"183",0,0
"184",0.0036,0.0598948974443899
"185",0,0
"186",0,0
"187",0.004,0.0631220915357213
"188",0,0
"189",0,0
"190",0.0041,0.0639030387371053
"191",0,0
"192",0,0
"193",0.004,0.0631220915357213
"194",0,0
"195",0,0
"196",0.004,0.0631220915357213
"197",0,0
"198",0,0
"199",0.0135,0.115408326858121
