V1,V2,V3,V4
Tipton & Peck,2017,A Design-Based approach to improve external validity in welfare policy evaluations,
Austin,2011,An Introduction to Propensity Score Methods for Reducing the Effects of Confounding in Observational Studies,
Beal,2013,An Introduction to Propensity Scores- What When and How,
Kern,2016,Assessing Methods For Generalizing Experimental Impacts,
Rubin,1977,Assignment to treatment on the basis of a covariate,
Schafer & Kang,2008,Average causal effects from nonrandomized studies,
Rubin,1978,Bayesian Inference for Causal Effects The Role of Randomization,
Stuart & Rubin,2008,Best Practices in Quasi–Experimental Designs Matching Methods for Causal Inference ,
Shadish,2010,Campbell and Rubin A Primer and Comparison of Their Approaches to Causal Inference in Field Settings,
Dehejia,2012,Causal Effects in Nonexperimental Studies Reevaluating the Evaluation of Training Programs,
Holland & Rubin,1988,Causal Inference in Retrospective Studies,
Stuart,2017,Characteristics of School Districts That Participate in Rigorous National Educational Evaluations,
Rubin,1974,Characterizing the Estimation of Parameters in Incomplete-Data Problems,
Dawid,1979,Conditional Independence in Statistical Theory,
Rosenbaum & Rubin,1985,Constructing a Control Group Using Multivariate Matched Sampling Methods That Incorporate the Propensity Score,
Kang,2007,Demystifying double robustness,
[D] Fellers,2017,Developing an approach to determine generalizability,
Rubin,1980,Discussion of “randomization analysis of experimental data in the Fisher randomization test,
Salkind,2010,Encyclopedia of research design,Prob Sampling
Salkind,2010,Encyclopedia of research design,Rand Sampling
Rubin,1974,Estimating Causal Effects of Treatments in Randomized and Nonrandomized Studies,
Rubin,2008,"For Objective Causal Inference, Design Trumps Analysis",
O'Muircheartaigh,2014,Generalizing from unrepresentative experiments,
Tipton,2014,How generalizable is your experiment,
Tipton,2016,Implications of small samples for generalization adjustments and rules of thumb,
Tipton,2013,Improving generalizations from experiments using propensity score subclassification,
Rubin,1976,Inference and Missing Data,
Ho et al,2017,Matching as Nonparametric Preprocessing for Reducing Model Dependence in Parametric Causal Inference,
Stuart,2010,Matching Methods for Causal Inference,A Review and a Look Forward
Stuart & Rubin,2008,Matching With Multiple Control Groups With Adjustment for Group Differences,
[D] Tipton,2010,Methods for Generalizing from Experiments,
Imai,2008,Misunderstandings between experimentalists and observationalists about causal inference,
Imbens,2004,Nonparametric estimation of average treatment effects under exogeneity A review,
Williamson,2011,Propensity scores From naïve enthusiasm to intuitive understanding,
Rosenbaum & Rubin,1984,Reducing Bias in Observational Studies Using Subclassification on the Propensity Score,
Kruskal & Mosteller,1979,Representative Sampling I Non-Scientific Literature,
Kruskal & Mosteller,1979,"Representative Sampling II Scientific Literature, Excluding Statistics",
Kruskal & Mosteller,1979,Representative Sampling III The Current Statistical Literature,
Welsh,2013,Robust model-based sampling designs,
Tipton,2014,Sample Selection in Randomized Experiments,
Tipton,2016,Site Selection in Experiments,
Flay et al,2005,"Standards of Evidence Criteria for Efficacy, Effectiveness and Dissemination",
Holland,1986,Statistics and Causal Inference,
Tipton,2013,Stratified Sampling Using Cluster Analysis,
Rubin,2004,Teaching statistical inference for causal effects in experiments and Observational Studies,
Rosenbaum & Rubin,1983,The Central Role of the Propensity Score in Observational Studies for Causal Effects,
Rubin,1973,The Use of Matched Sampling and Regression Adjustment to Remove Bias in Observational Studies,
Stuart,2011,The use of propensity scores to assess the generalizability of results from randomized trials,
Pearl & Bareinboim,2011,Transportability of causal and statistical relations A formal approach,
Rubin,1986,Which ifs have causal answers,
,,,
,,,
Notes-on-probability,,,
